,all_day,close_date,close_time_h,close_time_i,close_time_s,companyNM,content_type,cycle,cycle_day,cycle_week,duration,for_tag,id,is_live,link,lite_archives_id,lite_archives_name,name,one_play,open_date,open_loop,open_time_h,open_time_i,open_time_s,play_mode,play_speed,play_time,play_time_h,play_time_i,play_time_s,play_time_unit,schedule_head_id,select_style_id,source,start,style,style_name,text_content,thumbnail,type,video_id,video_source,video_title,week
783,,,,,,Nord Anglia Int,1,,,,,0,6573,,,,,4RRA,,,,,,,2.0,,10,,,,i,,5764,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,hello,,1,,,,
784,,,,,,Nord Anglia Int,3,,,,790.0,0,6573,False,https://www.youtube.com/watch?v=QrkpQ-2PxLs,[],,4RRA,0,,,,,,,,,0,13,10,,,,1,0.0,,,,https://i.ytimg.com/vi/QrkpQ-2PxLs/mqdefault.jpg,3,QrkpQ-2PxLs,,Liverpool v Arsenal | Top 5 Moments,
785,,,,,,Nord Anglia Int,1,,,,,1,3057,,,,,All device,,,,,,,2.0,,10,,,,i,,5764,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,hello,,1,,,,
786,,,,,,CAC,3,,,,216.0,1,3047,False,https://www.youtube.com/watch?v=asflkb9N-qw,[],,Year 7,1,,,,,,,,,0,0,0,,,,1,0.0,,,,https://i.ytimg.com/vi/asflkb9N-qw/mqdefault.jpg,3,asflkb9N-qw,,Year 7 Camp 2019,
787,,,,,,Empowered Learn,1,,,,,1,2777,,,,,All device,,,,,,,1.0,,10,,,,i,,5295,,,"{""font_size"":""2"",""font_color"":""#ff0000"",""background_color"":""#ffffffff"",""text_align"":""left""}",Notice_1,Hi Vanessa,,1,,,,
788,1,,,,,EDU,1,,,,,1,2202,,,,,All device,,2019-08-22,,,,,2.0,,,,,,,,4263,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,The Admissions Test for Fall 2019 Semester will Start From 11am. ,,1,,,,
789,,,,,,CAC,1,,,,,0,6561,,,,,R4,,,,,,,1.0,,1,,,,i,,4679,,,"{""font_size"":2,""font_color"":""#ff0000"",""text_align"":""left"",""background_color"":""""}",ifp.style_1,7B are losers,,1,,,,
790,,,,,,CAC,2,,,,3.0,0,6561,,,['17564'],Listening with Understanding & Empathy.jpg,R4,0,,,,,,,3,,0,1,3,,,,,,,,,,2,,,,
791,,,,,,CAC,3,,,,33.0,0,6561,False,https://www.youtube.com/watch?v=ij_5TMwqi4A,[],,R4,1,,,,,,,,,0,0,0,,,,1,0.0,,,,https://i.ytimg.com/vi/ij_5TMwqi4A/mqdefault.jpg,3,ij_5TMwqi4A,,Bird bounces golf ball on the cart path!,
792,,,,,,Videopro,1,,,,,1,2607,,,,,All device,,,,,,,2.0,,10,,,,i,,5000,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,Jeff sux,,1,,,,
