"id","company_id","name","com_name","group_id","is_ifp","player_os_version","model_id","model_name","created_at"
"4612","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-03 10:18:43"
"4616","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-04 10:54:53"
"4617","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-04 12:40:32"
"4618","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-04 12:51:56"
"4625","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-04 23:30:59"
"5221","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-05-09 00:36:54"
"7184","2591","臺北市仁愛國中","Taiwan","4430","1","6.0","34","RP6501K","2019-10-03 08:26:46"
"7185","2591","臺北市仁愛國中","Taiwan","4430","1","6.0","34","RP6501K","2019-10-03 08:31:18"
"7186","2591","臺北市仁愛國中","Taiwan","4430","1","6.0","34","RP6501K","2019-10-03 08:40:41"
"4471","2595","Data Image","United States","4436","1","5.0.1","31","RM6501K","2019-02-21 18:14:08"
"4788","2595","Data Image","United States","4436","1","6.0","35","RP7501K","2019-03-21 13:39:22"
"6120","2595","Data Image","United States","4436","1","6.0","35","RP7501K","2019-07-24 18:01:20"
"5912","2600","臺中市立大道國中","Taiwan","4441","1","5.0.1","37","RP755S","2019-07-10 03:27:44"
"5915","2600","臺中市立大道國中","Taiwan","4441","1","5.0.1","37","RP755S","2019-07-10 06:38:20"
"5916","2600","臺中市立大道國中","Taiwan","4441","1","5.0.1","37","RP755S","2019-07-10 08:38:11"
"5935","2600","臺中市立大道國中","Taiwan","4441","1","5.0.1","37","RP755S","2019-07-11 00:52:35"
"5936","2600","臺中市立大道國中","Taiwan","4441","1","5.0.1","37","RP755S","2019-07-11 00:54:53"
"5937","2600","臺中市立大道國中","Taiwan","4441","1","5.0.1","37","RP755S","2019-07-11 01:24:28"
